City name,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Aberystwyth,52.409999999999975,59.0,91,97,5.710833333333334
Aksu,52.04,77.0,47,0,10.596153846153847
Albany,42.64999999999999,70.0,64,75,10.279230769230766
Alice Springs,-23.699999999999992,59.0,41,0,10.97
Alofi,-19.06,77.74,80,43,6.220833333333334
Atuona,-9.799999999999999,79.89999999999999,80,1,10.687692307692307
Bluff,-23.579999999999995,63.51999999999999,37,95,4.570833333333334
Bozeman,45.67999999999999,66.20000000000002,82,40,6.465714285714285
Bredasdorp,-34.529999999999994,52.0,93,0,6.1825
Busselton,-33.63999999999999,66.99,46,5,5.356666666666668
Cabo San Lucas,22.889999999999993,89.6,38,5,7.474615384615385
California City,35.13,91.0,18,1,6.02
Coquimbo,-29.949999999999992,52.0,93,90,6.2469230769230775
Fortuna,38.18,78.79999999999998,83,40,7.267692307692308
Hermanus,-34.42000000000001,53.01,88,0,8.774166666666668
Hualmay,-11.099999999999996,62.080000000000005,84,75,7.53
Ilulissat,69.22000000000001,48.199999999999996,57,20,6.817499999999999
Juneau,58.29999999999999,62.600000000000016,77,90,5.545
Kaitangata,-46.27999999999999,46.0,66,100,9.470769230769232
Kapaa,22.07999999999999,86.0,74,40,8.152307692307694
Ketchikan,55.340000000000025,64.39999999999999,68,40,6.961538461538462
Khatanga,71.98,61.179999999999986,74,99,7.7153846153846155
Kruisfontein,-34.0,48.76,85,0,7.698333333333333
Lebu,8.960000000000004,53.600000000000016,81,40,8.733076923076924
Longyearbyen,78.22000000000001,42.8,93,75,5.769230769230768
Luderitz,-26.649999999999995,48.199999999999996,100,0,8.561666666666667
Mataura,-46.190000000000005,46.0,81,100,6.6146153846153855
Mount Gambier,-37.82999999999999,55.399999999999984,71,75,5.973076923076921
Notse,6.950000000000002,71.62,95,100,7.258333333333333
Port Alfred,-33.59000000000001,57.0,91,0,4.1225000000000005
Port Elizabeth,39.31,77.0,100,1,7.782307692307693
Punta Arenas,-53.159999999999975,39.199999999999996,80,75,5.261538461538461
Qaanaaq,77.48,42.82,67,100,7.205000000000001
Rikitea,-23.12,73.24,78,0,7.7153846153846155
Rio Grande,-32.02999999999999,46.399999999999984,93,0,10.343846153846155
Rock Sound,24.9,83.14,78,15,5.036153846153846
Saint-Philippe,45.36000000000001,71.60000000000001,93,1,8.944615384615386
San Quintin,17.539999999999996,84.94000000000003,73,82,9.036153846153846
Sao Francisco de Paula,-29.449999999999992,50.0,98,81,13.346666666666666
Sola,-3.1700000000000004,61.72000000000002,71,25,8.260833333333334
Touros,-5.200000000000001,73.39999999999999,88,75,4.837692307692308
Ushuaia,-54.809999999999995,35.60000000000001,93,40,6.052307692307692
Verkhoyansk,67.54999999999998,63.159999999999975,36,14,6.898333333333333
